nummer,vraag,antwoord
1,Het WK van 2006 was in Itali?,ONWAAR
2,Londen is de thuishaven van Aston Villa Football Club,ONWAAR
3,De Olympische Spelen van 2012 werden in Groot Brittani? gehouden,WAAR
4,De Rugby Union World Cup wordt iedere 2 jaar gehouden,ONWAAR
5,Een 'Touchdown' bij American Football geeft je 6 punten,WAAR
6,Andy Murray won Wimbledon in 2013,WAAR
7,Formule 1 Wereldkampioen 'Mika H?kkinen' komt uit Oostenrijk,ONWAAR
8,De afkorting NHL staat voor: National Hockey League,WAAR
9,Het Olympische stadion in Berlijn wordt ook wel het 'Vogelnest' genoemd,ONWAAR
10,Usain Bolt won goud op de 100 en 200 meter op de spelen van 2012,WAAR
11,Een olympisch zwembad is 25 meter lang,ONWAAR
12,Formule 1 courreur 'Lewis Hamilton' werd in 2010 voor het eerst wereldkampioen,ONWAAR
13,Rugby wedstrijden beginnen met een 'drop kick',WAAR
14,De Australian Open wordt gehouden in Maart,ONWAAR
15,De nationale sport van Japan is judo,ONWAAR
16,FIFA staat voor: F?d?ration Internationale de Football Association,WAAR
17,De gele bal is 4 punten waard bij snooker,ONWAAR
18,Een 'nibler' is een golf club,WAAR
19,"De Chicago Bulls, Boston Celtics and Detroit Pistons zijn allemaal American baseball teams?",ONWAAR
20,De bijnaam van Pel? is 'The Black Pearl',WAAR
21,Het nieuwe Wembley Stadium werd geopend in 2007,WAAR
22,Er zijn 21 punten en een 2 punten voorsprong nodig om te winnen bij badminton,WAAR
23,Feyenoord is de mooiste club van Nederland,WAAR
24,De meeste Champions Leagues zijn gewonnen door FC Barcelona,ONWAAR
25,Neil Robertson won de 'Snooker World Cup' in 2012,ONWAAR
